[2024-07-08 22:46:22] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 5
[2024-07-08 22:46:28] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 22:50:44] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 4
[2024-07-08 22:50:49] IP: 127.0.0.1 | Utilisateur: admin | Action: Réservation créée pour la séance ID: 19
[2024-07-08 22:52:22] IP: 127.0.0.1 | Utilisateur: admin | Action: Réservation créée pour la séance ID: 19
[2024-07-08 22:59:50] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 4
[2024-07-08 22:59:56] IP: 127.0.0.1 | Utilisateur: admin | Action: Réservation créée pour la séance ID: 29
[2024-07-08 23:00:27] IP: 127.0.0.1 | Utilisateur: admin | Action: Réservation créée pour la séance ID: 29
[2024-07-08 23:02:15] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 7
[2024-07-08 23:02:21] IP: 127.0.0.1 | Utilisateur: admin | Action: Réservation créée pour la séance ID: 22
[2024-07-08 23:02:40] IP: 127.0.0.1 | Utilisateur: admin | Action: Réservation créée pour la séance ID: 19
[2024-07-08 23:10:19] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 4
[2024-07-08 23:15:39] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 23:15:41] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 4
[2024-07-08 23:24:31] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 4
[2024-07-08 23:24:38] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 4
[2024-07-08 23:26:15] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 4
[2024-07-08 23:26:19] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 4
[2024-07-08 23:26:32] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 4
[2024-07-08 23:26:34] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 23:26:37] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 11
[2024-07-08 23:27:14] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 11
[2024-07-08 23:28:45] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 23:28:47] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 4
[2024-07-08 23:28:51] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 4
[2024-07-08 23:28:52] IP: 127.0.0.1 | Utilisateur: admin | Action: Visite de la page d'accueil
[2024-07-08 23:28:55] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation des détails du film ID: 9
[2024-07-08 23:30:12] IP: 127.0.0.1 | Utilisateur: admin | Action: Consultation de la page des films
